IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.77.128,4,4,0.00,102.70,0.32
172.67.65.42,4,4,0.00,103.43,0.29
162.159.136.159,4,4,0.00,102.68,0.29
162.159.128.11,4,4,0.00,103.21,0.25
172.67.66.83,4,4,0.00,102.01,0.25
162.159.138.250,4,4,0.00,100.29,0.18
172.67.74.208,4,4,0.00,103.13,0.18
104.20.20.17,4,4,0.00,102.35,0.11
172.65.234.174,4,4,0.00,102.47,0.00
172.65.239.71,4,4,0.00,102.32,0.00
